2.00

SCRIPTFX_INFO_START


#SINGLEPLAYER SCRIPT NAME	PTFX ASSET NAME

###### SOLOMON ######

#SOL_1_INT_P1_INTRO
SOL_1_MCS_1				cut_solomon1
#SOL_2_INT
SOL_2_INT_P2			cut_solomon1
#SOL_2_INT_P2_PU
#SOL_3A_INT_P1
#SOL_3A_INT_P2
#SOL_3A_INT_P3
SOL_3B_INT_P1			cut_solomon3b
#SOL_3B_MCS_1
SOL_3B_MCS_2_P1			cut_solomon3b
#SOL_3B_MCS_2_P2
SOL_3B_MCS_2_P2_B		cut_solomon3b
#Solomon_1_INTp1
#Solomon_1_INTp2
#Solomon_1_INTp3
sol_5_mcs_1				cut_solomon5

###### TREVOR ######

trevor_1_int				cut_trevor1
Trevor_1_INTp1_B			cut_trevor1
Trevor_1_INT_JAP			cut_trevor1
#Trevor_1_INTp2
#Trevor_1_INTp3
Trevor_1_INTp4				cut_trevor1
#Trevor_1_INTp4_2
#Trevor_1_INTp5
#Trevor_1_INTp6

#Trevor_2_INT
#Trevor_3_INTp1
#Trevor_3_INTp2
#Trevor_3_INTp3
#Trevor_3_INTp3_trevor_run

Trevor_Drive_INT			cut_trevor1
TRV_1_MCS_1_P1				cut_trevor1
#TRV_1_MCS_2
trv_1_mcs_3_concat			cut_trevor1
TRV_1_MCS_3_P0				cut_trevor1
TRV_1_MCS_3_P2				cut_trevor1
#TRV_1_MCS_4
#TRV_2_MCS_1_P1
#TRV_2_MCS_1_P2
#TRV_2_MCS_1_P4
#TRV_2_MCS_3
#TRV_2_MCS_3_B
TRV_2_MCS_4					cut_trevor2
TRV_2_MCS_4B_P1				cut_trevor2
#TRV_2_MCS_4B_P2
#TRV_2_MCS_4B_P3
#TRV_2_MCS_5
TRV_2_MCS_5C_ALT1			cut_trevor2
TRV_2_MCS_5C_ALT2			cut_trevor2
TRV_2_MCS_5C_ALT3			cut_trevor2	
TRV_2_MCS_5C_ALT4			cut_trevor2
TRV_2_MCS_5C_ALT5			cut_trevor2
TRV_2_MCS_6_P1				cut_trevor2
TRV_2_MCS_6_P2_T1			cut_trevor2
TRV_2_MCS_6_P2_T2			cut_trevor2	
TRV_2_MCS_6_P3				cut_trevor2	

#TRV_4_MCS_1_A
TRV_4_MCS_2_P1				cut_trevor4
TRV_4_MCS_2_P1B_take2		cut_trevor4

#TRV_5_INT_P1
#TRV_5_INT_P2
TRV_5_INT_P3				cut_trevor5				
#TRV_5_INT_P4
#TRV_5_INT_P5
TRV_DRI_EXT					cut_trevor3
#TRV_DRI_MCS
#TRV2_MCS_8_A
#TRV2_MCS_8_B

CUTSCENEFX_INFO_END



###### FOR REFERENCE ##########################################


## SINGLEPLAYER SCRIPT NAMES [NO VFX REFERENCES]

#ab_guncar
#act_cinema
#act_comedyclub
#act_livemusic
#agency_heist1
#agency_heist2a
#agency_heist2b
#agency_heist2c
#air_debuglauncher
#assassin_construction
#assassin_hooker
#assassin_valet
#barry4
#brucie1
#carsteal1a
#carsteal1b
#carsteal2
#carsteal_intro_cut	
#chinese1
#clothes_shop
#controller_assassination
#controller_taxi
#controller_vigilante
#cr_triathlon
#dale1
#dale2
#darts
#debug_towing_abandoned
#debug_towing_handicap
#debug_towing_illegal
#debug_towing_patrol
#debug_towing_train
#docks_setup
#epsilon1
#epsilon2
#epsilon3
#epsilon4
#epsilon5
#epsilon6
#epsilon7
#epsilon8
#extreme1
#extreme3
#extreme4
#family_controller
#family2
#fanatic1
#fanatic2
#fanatic3
#fbi2
#finale_heist1
#franklin2
#friendactivity
#gunclub_shop
#hunting1
#hunting2
#impotent1
#impotent2
#impotent3
#impotent4
#jewelry_setup1
#josh1
#josh2
#josh4
#launcher_offroadraces
#lester1a
#magenta1
#magenta2
#michael1
#minute1
#minute2		
#minute3
#mrsavb1
#mrsavb2
#mrsavb3
#mrsavb4
#mrsavb5
#nice_house_heist
#nice_house_setup1a
#nice_house_setup1b
#nigel1
#nigel1a
#nigel1b
#nigel1c
#nigel1d
#nigel1e
#nigel3
#offroad_races
#pb_prostitute
#range_modern
#re_abandonedcar
#re_arrests
#re_atmrobbery
#re_bikethief
#re_broken_down
#re_bus_tours
#re_chasethieves
#re_crashrescue
#re_cultshootout
#re_dealgonewrong
#re_domestic
#re_gang_intimidation
#re_gangfight
#re_getaway_driver
#re_hitch_lift
#re_homeland_security
#re_lured
#re_mountdance
#re_muggings
#re_parkingattend
#re_pickpocket
#re_prisonerlift
#re_prisonvanbreak
#re_rc_challenge
#re_rescuehostage
#re_securityvan
#re_shootingmovies
#re_shoprobbery
#re_snatched
#re_stag_do
#re_tacovan
#re_ungratefulwhore
#re_wanderer
#sasquatch1
#sasquatch2
#scott1
#scott2
#scott3
#soldier1
#soldier2
#solomon2
#solomon3a
#space_shooter
#stripclub
#tattoo_shop
#taxi
#taxi_cutyouin
#taxi_deadline
#taxi_followcar
#taxi_gotyounow
#taxi_gotyourback
#taxi_iknowway
#taxi_needexcitement
#taxi_taketobest
#trevor
#trevor5
#trevor6
#triathlonsp
#vigilantemission








## MULTIPLAYER SCRIPT NAMES [NO VFX REFERENCES]

#AM_CP_BombDisposal.sc
#AM_CP_Delivery.sc
#AM_CP_Snitch.sc
#AM_CP_TowTruck.sc
#AM_CR_HOLD_UP.sc
#AM_CR_SecurityVan.sc
#AM_ImportExport.sc
#Arrest.sc
#Cop_partner.sch
#CP_ARREST.sc
#CP_InformHeli.sc
#CP_PrisonTrans.sc
#cr_prison_break.sc
#CP_ProWitCourt.sc
#CP_vip_tour.sc
#CP_weapons_ambush.sc
#CP_welcometut.sc
#CR_Asin.sc
#CR_ASIN.sc
#CR_ATTACKBOAT.sc
#CR_BossMeet.sc
#CR_Convoy_Steal.sc
#CR_DefendBase.sc
#CR_DisposeOfVehicle.sc
#CR_escortcrimboss.sc
#CR_farmhouse.sc
#CR_Funeral.sc
#CR_GET_VEHICLE.sc
#CR_GOGET.sc
#CR_oceandrop.sc
#CR_Packagegrab.sc
#CR_parley.sc
#CR_RACES.sc
#CR_RACES.sc
#CR_Showroom.sc
#CR_Steal_vehicle.sc
#CR_Triathlon.sc
#CR_van_rescue.sc
#CR_WELCOME.sc
#DM_DEATHMATCH
#mission_select_hud.sc
#MP_HUD.sc
#net_drug_economy.sc
#net_safe_crack
#Net_Spectator_Cam.sch




